StoreNumber,Country,Longitude,Latitude
1522,USA,-81.656138,36.200116
1523,USA,-84.24581961,40.05547776
1524,USA,-97.24027641,32.89655687
1525,USA,-86.12466473,39.99937001
1526,USA,-89.79782789,35.11874601
1527,USA,-91.03811214,33.36761943
1528,USA,-79.406067,37.805301
1529,USA,-80.174738,35.343116
1530,USA,-95.16680112,30.00027041
1531,USA,-86.96540753,33.41027739
1532,USA,-95.88960047,36.00155294
1533,USA,-80.826263,32.242433
1534,USA,-122.6273,47.6156
1535,USA,-74.1582,40.0575
1536,USA,-95.76769371,36.06503115
1537,USA,-114.9561,36.0147
1538,USA,-77.4237,38.8956
1539,USA,-104.8031402,41.16658407
1540,USA,-121.27103,38.677983
1541,USA,-119.697633,36.80907
1542,USA,-75.10575483,39.83300521
1543,USA,-106.5143,35.1178
1544,USA,-83.87663104,36.02777731
1545,USA,-121.27,38.022
1546,USA,-76.0542,36.8404
1547,USA,-97.1986142,37.67674458
1548,USA,-74.05663901,40.29670574
1549,USA,-97.46203258,35.64966247
1551,USA,-84.69525287,45.02252369
1552,USA,-121.551213,37.005186
1553,USA,-112.3435,33.4616
1554,USA,-108.585707,39.08016
1555,USA,-118.323,33.9213
1556,USA,-117.004212,33.742539
1557,USA,-81.2833,35.7
1558,USA,-122.9583034,45.50344576
1559,USA,-97.60934583,38.78214755
1560,USA,-99.11850504,30.06886179
1561,USA,-155.990938,19.646616
1562,USA,-117.9681,33.9168
1563,USA,-99.50017802,27.56147729
1564,USA,-83.944538,30.837116
1565,USA,-94.45119756,39.24773577
1566,USA,-81.4188,39.4063
1567,USA,-74.30847913,40.35510065
1568,USA,-88.68001582,32.35419929
1569,USA,-87.31787677,41.47567011
1570,USA,-95.45655613,29.68788614
1571,USA,-75.72611929,39.4474235
1572,USA,-74.89556823,40.17052431
1573,USA,-122.202085,47.877519
1574,USA,-117.275852,33.940454
1575,USA,-74.80683315,39.97981312
1576,USA,-117.2076,33.5621
1577,USA,-86.58796971,34.773177
1579,USA,-98.51358279,29.60664005
1580,USA,-95.91992938,36.13969412
1581,USA,-77.47114016,43.21176998
1582,USA,-97.42850392,32.80754005
1583,USA,-74.162686,40.627189
1584,USA,-74.0725743,41.50325986
1585,USA,-84.42963234,39.17042476
1588,USA,-117.3099,33.230595
1590,USA,-75.13850571,40.67750547
1591,USA,-118.1043,33.9853
1592,USA,-82.1222,27.9874
1593,USA,-76.356202,36.812395
1595,USA,-83.004343,39.881906
1596,USA,-84.53425976,42.65893742
1597,USA,-74.2231,40.5483
1598,USA,-81.3113,28.5077
1599,USA,-88.16429077,30.59937969
1600,USA,-122.9892,44.9139
1601,USA,-87.46884302,41.51403417
1602,USA,-77.3102,38.654
1603,USA,-84.0113,33.8851
1604,USA,-83.2821248,42.49829628
1605,USA,-82.58992442,28.49829098
1606,USA,-81.349482,41.237294
1607,USA,-112.34961,33.636282
1608,USA,-74.17440576,39.99005102
1609,USA,-85.6422559,44.73068779
1610,USA,-87.50188128,38.69243248
1611,USA,-119.311409,36.296325
1612,USA,-73.89019337,42.77340663
1613,USA,-111.9811,40.6169
1614,USA,-83.71167563,41.67612957
1615,USA,-85.85665351,41.26891864
1616,USA,-117.24771,33.195317
